project_file,commit,commit_message,date,old,new,similarity,prompt_length_old,prompt_length_new
IncomeStreamSurfer/print_on_demand_printify_automation_upscalecreateimages.py,d8954f39851f56cb24a619a731a8695e6e074589,Update upscalecreateimages.py,2023-07-11,Generate a catchy and clickable title for a T-shirt with the theme: 'PLACEHOLDER'. Maximum 50 characters. At the end of each title write Acrylic Wall Art Panels,Generate a catchy and clickable title for a Cork Back Coaster with the theme: 'PLACEHOLDER'. Maximum 50 characters. At the end of each title write Cork Back Coaster,0.7857142857142857,27.0,28.0
akshata29/entaoai_api/Python/PibChat/__init__.py,3f185e1cfa368b07bcab32e1b9c54ee0a3a068f9,ChatGpt and Chat On Data,2023-07-25,"Below is a history of the conversation so far, and a new question asked by the user that needs to be answered by searching in a knowledge base.
    Generate a search query based on the conversation and the new question.
    The search query should be optimized to find the answer to the question in the knowledge base.

    Chat History:
    {chat_history}

    Question:
    {question}

    Search query:
    ","Below is a history of the conversation so far, and a new question asked by the user that needs to be answered by searching in a knowledge base.
    Generate a search query based on the conversation and the new question.
    The search query should be optimized to find the answer to the question in the knowledge base.

    ",0.9344262295081968,64.0,57.0
akshata29/entaoai_api/Python/PibChat/__init__.py,430654f1e531b9bc34f6a6041958686642100917,Refactored Summarization,2023-07-28,"Below is a history of the conversation so far, and a new question asked by the user that needs to be answered by searching in a knowledge base.
    Generate a search query based on the conversation and the new question.
    The search query should be optimized to find the answer to the question in the knowledge base.

    ","Below is a history of the conversation so far, and a new question asked by the user that needs to be answered by searching in a knowledge base.
    Generate a search query based on the conversation and the new question.
    The search query should be optimized to find the answer to the question in the knowledge base.
    If you cannot generate a search query, return just the number 0.

    ",0.9047619047619047,57.0,69.0
Coframe/coffee_react/agents/baseline.py,78321552f52712d63e94763adce45f351d7eceab,"update readme, stylistic things, prompt",2023-12-11,"
            You are an expert in the frontend development.
            Your task is to create a react component file according to the user query:
            {{user_query}}

            This is current content of component file:
            ```
            {% for line in file_content.split(""
"") %}
            {{ line }}
            {% endfor %}
            ```

            This is parent component file, it uses <Coffee> component to render component that you should create.
            ```
            {% for line in parent_file_content.split(""
"") %}
            {{ line }}
            {% endfor %}
            ```

            Output whole new file for {{source_file}} within ``` and nothing else. It will be saved as is to the component file {{source_file}} and should work out of the box.
            Do not add any new libraries. Put everything into single file: styles, types, etc.
        ","
            You are a pragmatic principal frontend engineer at Google. You are about to get instructions for code to write.
            This code must be as simple and easy to understand, while still fully expressing the functionality required. 
            Please note that the code should be complete and fully functional. NO PLACEHOLDERS. NO OMISSIONS.
            DO NOT OMIT ANYTHING FOR BREVITY as the code you output will be written directly to a file, as-is.
            Your task is to create a react component file according to the user query:
            {{user_query}}

            This is current content of component file:
            ```
            {% for line in file_content.split(""
"") %}
            {{ line }}
            {% endfor %}
            ```

            This is the parent component file: it uses the <Coffee> component to render the component that you should create.
            ```
            {% for line in parent_file_content.split(""
"") %}
            {{ line }}
            {% endfor %}
            ```

            Output whole new file for {{source_file}} within ``` and nothing else. It will be saved as is to the component file {{source_file}} and should work out of the box.
            DO NOT add any new libraries or assume any classes that you don't see, other than those clearly used by the parent or child component. Put everything into single file: styles, types, etc.
            Finally, please note that the code should be complete and fully functional. NO PLACEHOLDERS.
            Do not add any comments. 
            The code you output will be written directly to a file, as-is. Any omission or deviation will completely break the system.
            DO NOT OMIT ANYTHING FOR BREVITY.
            DO NOT OMIT ANYTHING FOR BREVITY.
            DO NOT OMIT ANYTHING FOR BREVITY.
            DO NOT OMIT ANYTHING FOR BREVITY.
            DO NOT OMIT ANYTHING FOR BREVITY.
        ",0.5522788203753352,119.0,273.0
Coframe/coffee_react/agents/baseline.py,aef46dcd9add90c01eb2481103cb471fa51492b3,"Revert ""update readme, stylistic things, prompt""

This reverts commit 78321552f52712d63e94763adce45f351d7eceab.",2023-12-11,"
            You are a pragmatic principal frontend engineer at Google. You are about to get instructions for code to write.
            This code must be as simple and easy to understand, while still fully expressing the functionality required. 
            Please note that the code should be complete and fully functional. NO PLACEHOLDERS. NO OMISSIONS.
            DO NOT OMIT ANYTHING FOR BREVITY as the code you output will be written directly to a file, as-is.
            Your task is to create a react component file according to the user query:
            {{user_query}}

            This is current content of component file:
            ```
            {% for line in file_content.split(""
"") %}
            {{ line }}
            {% endfor %}
            ```

            This is the parent component file: it uses the <Coffee> component to render the component that you should create.
            ```
            {% for line in parent_file_content.split(""
"") %}
            {{ line }}
            {% endfor %}
            ```

            Output whole new file for {{source_file}} within ``` and nothing else. It will be saved as is to the component file {{source_file}} and should work out of the box.
            DO NOT add any new libraries or assume any classes that you don't see, other than those clearly used by the parent or child component. Put everything into single file: styles, types, etc.
            Finally, please note that the code should be complete and fully functional. NO PLACEHOLDERS.
            Do not add any comments. 
            The code you output will be written directly to a file, as-is. Any omission or deviation will completely break the system.
            DO NOT OMIT ANYTHING FOR BREVITY.
            DO NOT OMIT ANYTHING FOR BREVITY.
            DO NOT OMIT ANYTHING FOR BREVITY.
            DO NOT OMIT ANYTHING FOR BREVITY.
            DO NOT OMIT ANYTHING FOR BREVITY.
        ","
            You are an expert in the frontend development.
            Your task is to create a react component file according to the user query:
            {{user_query}}

            This is current content of component file:
            ```
            {% for line in file_content.split(""
"") %}
            {{ line }}
            {% endfor %}
            ```

            This is parent component file, it uses <Coffee> component to render component that you should create.
            ```
            {% for line in parent_file_content.split(""
"") %}
            {{ line }}
            {% endfor %}
            ```

            Output whole new file for {{source_file}} within ``` and nothing else. It will be saved as is to the component file {{source_file}} and should work out of the box.
            Do not add any new libraries. Put everything into single file: styles, types, etc.
        ",0.5522788203753352,273.0,119.0
Coframe/coffee_react/agents/baseline.py,6c551e79011d024509453cb616f0af25a50365a3,re-updating,2023-12-11,"
            You are an expert in the frontend development.
            Your task is to create a react component file according to the user query:
            {{user_query}}

            This is current content of component file:
            ```
            {% for line in file_content.split(""
"") %}
            {{ line }}
            {% endfor %}
            ```

            This is parent component file, it uses <Coffee> component to render component that you should create.
            ```
            {% for line in parent_file_content.split(""
"") %}
            {{ line }}
            {% endfor %}
            ```

            Output whole new file for {{source_file}} within ``` and nothing else. It will be saved as is to the component file {{source_file}} and should work out of the box.
            Do not add any new libraries. Put everything into single file: styles, types, etc.
        ","
            You are a pragmatic principal frontend engineer at Coframe, a hot new company building the future of user interfaces.
            You are about to get instructions for code to write.
            This code must be as simple and easy to understand, while still fully expressing the functionality required. 
            Please note that the code should be complete and fully functional. NO PLACEHOLDERS. NO OMISSIONS.
            DO NOT OMIT ANYTHING FOR BREVITY as the code you output will be written directly to a file, as-is.
            Your task is to create a react component file according to the user query:
            {{user_query}}

            This is current content of component file:
            ```
            {% for line in file_content.split(""
"") %}
            {{ line }}
            {% endfor %}
            ```

            This is the parent component file: it uses the <Coffee> component to render the component that you should create.
            ```
            {% for line in parent_file_content.split(""
"") %}
            {{ line }}
            {% endfor %}
            ```

            Output whole new file for {{source_file}} within ``` and nothing else. It will be saved as is to the component file {{source_file}} and should work out of the box.
            DO NOT add any new libraries or assume any classes that you don't see, other than those clearly used by the parent or child component. Put everything into single file: styles, types, etc.
            Finally, please note that the code should be complete and fully functional. NO PLACEHOLDERS.
            Do not add any comments. 
            The code you output will be written directly to a file, as-is. Any omission or deviation will completely break the system.
            DO NOT OMIT ANYTHING FOR BREVITY.
            DO NOT OMIT ANYTHING FOR BREVITY.
            DO NOT OMIT ANYTHING FOR BREVITY.
            DO NOT OMIT ANYTHING FOR BREVITY.
            DO NOT OMIT ANYTHING FOR BREVITY.
        ",0.5378590078328982,119.0,283.0
Coframe/coffee_react/agents/baseline.py,dab38be015b05ea2145bc18d149a6a9957549cd4,suppport example code,2023-12-12,"
            You are a pragmatic principal frontend engineer at Coframe, a hot new company building the future of user interfaces.
            You are about to get instructions for code to write.
            This code must be as simple and easy to understand, while still fully expressing the functionality required.
            Please note that the code should be complete and fully functional. NO PLACEHOLDERS. NO OMISSIONS.
            DO NOT OMIT ANYTHING FOR BREVITY as the code you output will be written directly to a file, as-is.
            Your task is to create a react component file according to the user query:
            {{user_query}}

            This is current content of component file:
            ```
            {% for line in file_content.split(""
"") %}
            {{ line }}
            {% endfor %}
            ```

            This is the parent component file: it uses the <Coffee> component to render the component that you should create.
            ```
            {% for line in parent_file_content.split(""
"") %}
            {{ line }}
            {% endfor %}
            ```

            Output whole new file for {{source_file}} within ``` and nothing else. It will be saved as is to the component file {{source_file}} and should work out of the box.

            DO NOT add any new libraries or assume any classes that you don't see, other than those clearly used by the parent or child component. Put everything into single file: styles, types, etc.
            Finally, please note that the code should be complete and fully functional. NO PLACEHOLDERS.
            Do not add any comments.
            The code you output will be written directly to a file, as-is. Any omission or deviation will completely break the system.
            DO NOT OMIT ANYTHING FOR BREVITY.
            DO NOT OMIT ANYTHING FOR BREVITY.
            DO NOT OMIT ANYTHING FOR BREVITY.
            DO NOT OMIT ANYTHING FOR BREVITY.
            DO NOT OMIT ANYTHING FOR BREVITY.
        ","
            You are a pragmatic principal frontend engineer at Coframe, a hot new company building the future of user interfaces.
            You are about to get instructions for code to write.
            This code must be as simple and easy to understand, while still fully expressing the functionality required.
            Please note that the code should be complete and fully functional. NO PLACEHOLDERS. NO OMISSIONS.
            DO NOT OMIT ANYTHING FOR BREVITY as the code you output will be written directly to a file, as-is.
            Your task is to create a react component file according to the user query:
            {{user_query}}

            This is current content of component file:
            ```
            {% for line in file_content.split(""
"") %}
            {{ line }}
            {% endfor %}
            ```

            This is the parent component file: it uses the <Coffee> component to render the component that you should create.
            ```
            {% for line in parent_file_content.split(""
"") %}
            {{ line }}
            {% endfor %}
            ```

            {% if example_content %}
                Follow similar structure and patterns of this example component:
                ```
                {% for line in example_content.split(""
"") %}
                {{ line }}
                {% endfor %}
                ```
            {% endif %}

            Output whole new file for {{source_file}} within ``` and nothing else. It will be saved as is to the component file {{source_file}} and should work out of the box.

            DO NOT add any new libraries or assume any classes that you don't see, other than those clearly used by the parent or child component. Put everything into single file: styles, types, etc.
            Finally, please note that the code should be complete and fully functional. NO PLACEHOLDERS.
            Do not add any comments.
            The code you output will be written directly to a file, as-is. Any omission or deviation will completely break the system.
            DO NOT OMIT ANYTHING FOR BREVITY.
            DO NOT OMIT ANYTHING FOR BREVITY.
            DO NOT OMIT ANYTHING FOR BREVITY.
            DO NOT OMIT ANYTHING FOR BREVITY.
            DO NOT OMIT ANYTHING FOR BREVITY.
        ",0.9632224168126096,283.0,314.0
YiVal/YiVal_src/yival/experiment/stable_diffusion.py,f26ac47c0b81d2212088e7ad0fbcaed0a1257ca1,modify,2023-12-01,"
Give me a new prompt that is different from all pairs above, and address all the comment above and keep the essense of the task
","
Give me a new prompt that address all the critcs above and keep the original format of the prompts. 
The following is an example of using prompt to help the AI model generate images: masterpiece, (best quality), highly-detailed, ultra-detailed, cold, solo, (1girl), (detailed eyes), (shine golden eyes), expressionless, (long sleeves),(puffy sleeves),(white wings),(heavy metal:1.2),(metal jewelry), cross-laced footwear, (chain),(White doves:1.2)

",0.3157894736842105,25.0,58.0
YiVal/YiVal_src/yival/experiment/stable_diffusion.py,c4e6027661e638e52751dc2218b1e5a6e34f7e3c,change,2023-12-01,"
StableDiffusion is a Vincent graph model using deep learning that supports generating new images by using prompt words to describe elements to be included or omitted.
I introduce the Prompt concept in the StableDiffusion algorithm here, also known as the prompt.
The prompt below is used to guide the AI painting model to create images. They include various details of the image, such as the appearance of the characters, background, color and lighting effects, as well as the theme and style of the image. The format of these prompts often includes weighted numbers in parentheses to designate the importance or emphasis of certain details. For example, ""(masterpiece:1.5)"" indicates that the quality of the work is very important, and multiple brackets have a similar effect. In addition, if you use square brackets, such as ""{blue hair:white hair:0.3}"", this means that blue hair and white hair are combined, and the proportion of blue hair is 0.3.
The following is an example of using prompt to help the AI model generate images: masterpiece, (best quality), highly-detailed, ultra-detailed, cold, solo, (1girl), (detailed eyes), (shine golden eyes), expressionless, (long sleeves),(puffy sleeves),(white wings),(heavy metal:1.2),(metal jewelry), cross-laced footwear, (chain),(White doves:1.2)

Following the example, give a set of prompts that describe the following in detail. Start giving prompts directly without describing them in natural language:

PLACEHOLDER","
StableDiffusion is a Vincent graph model using deep learning that supports generating new images by using prompt words to describe elements to be included or omitted.
I introduce the Prompt concept in the StableDiffusion algorithm here, also known as the prompt.
The prompt below is used to guide the AI painting model to create images. They include various details of the image, such as the appearance of the characters, background, color and lighting effects, as well as the theme and style of the image. The format of these prompts often includes weighted numbers in parentheses to designate the importance or emphasis of certain details. For example, ""(masterpiece:1.5)"" indicates that the quality of the work is very important, and multiple brackets have a similar effect. In addition, if you use square brackets, such as ""{blue hair:white hair:0.3}"", this means that blue hair and white hair are combined, and the proportion of blue hair is 0.3.
The followings are 5 examples of using prompt to help the AI model generate images: 
1. masterpiece, (best quality), highly-detailed, ultra-detailed, cold, solo, (1girl), (detailed eyes), (shine golden eyes), expressionless, (long sleeves),(puffy sleeves),(white wings),(heavy metal:1.2),(metal jewelry), cross-laced footwear, (chain),(White doves:1.2)
2. watermark, (worst quality), (low quality), (normal quality), lowres, monochrome, greyscale
3. (fox looking at monitor that says ""404 NOT FOUND"":1.2), monitor brand name ""FOX"", (high quality, masterpiece, high res:1.3), genderless, simple art style, text, (confused, data center server room, anthro furry, facing away, straight on:1.2)
4. (((fantasy masterpiece:1.5))), (best quality:1.5), (ultra detailed face, ultra detailed eyes, detailed mouth, detailed body, detailed hands, ultra detailed clothes, detailed background:1.5), (aesthetic + beautiful + harmonic:1.5), (symmetrical intricate details + sharpen symmetrical details) | (((close up of dignified female martial artist with luscious hair and bright eyes, she wears an elegant hanfu while walks beside her dragon friend:1.5))
5. ((masterpiece:1.3,concept art,best quality)),very cute appealing anthropomorphic kitten,looking at the fruit,big grin,happy,sunshine,,droplets,macro,fog,(holding a sign that says ""404""):1.,cartoon art,dynamic composition,dramatic lighting,epic realistic,award winning illustration
Following the example, give a set of prompts that describe the following in detail. Start giving prompts directly without describing them in natural language:

PLACEHOLDER",0.7405063291139241,218.0,347.0
YiVal/YiVal_src/yival/experiment/stable_diffusion.py,c4e6027661e638e52751dc2218b1e5a6e34f7e3c,change,2023-12-01,"
StableDiffusion is a Vincent graph model using deep learning that supports generating new images by using prompt words to describe elements to be included or omitted.
I introduce the Prompt concept in the StableDiffusion algorithm here, also known as the prompt.
The prompt below is used to guide the AI painting model to create images. They include various details of the image, such as the appearance of the characters, background, color and lighting effects, as well as the theme and style of the image. The format of these prompts often includes weighted numbers in parentheses to designate the importance or emphasis of certain details. For example, ""(masterpiece:1.5)"" indicates that the quality of the work is very important, and multiple brackets have a similar effect. In addition, if you use square brackets, such as ""{blue hair:white hair:0.3}"", this means that blue hair and white hair are combined, and the proportion of blue hair is 0.3.
The following is an example of using prompt to help the AI model generate images: masterpiece, (best quality), highly-detailed, ultra-detailed, cold, solo, (1girl), (detailed eyes), (shine golden eyes), expressionless, (long sleeves),(puffy sleeves),(white wings),(heavy metal:1.2),(metal jewelry), cross-laced footwear, (chain),(White doves:1.2)

Following the example, give a set of prompts that describe the following in detail. Start giving prompts directly without describing them in natural language:

","
StableDiffusion is a Vincent graph model using deep learning that supports generating new images by using prompt words to describe elements to be included or omitted.
I introduce the Prompt concept in the StableDiffusion algorithm here, also known as the prompt.
The prompt below is used to guide the AI painting model to create images. They include various details of the image, such as the appearance of the characters, background, color and lighting effects, as well as the theme and style of the image. The format of these prompts often includes weighted numbers in parentheses to designate the importance or emphasis of certain details. For example, ""(masterpiece:1.5)"" indicates that the quality of the work is very important, and multiple brackets have a similar effect. In addition, if you use square brackets, such as ""{blue hair:white hair:0.3}"", this means that blue hair and white hair are combined, and the proportion of blue hair is 0.3.
The followings are 5 examples of using prompt to help the AI model generate images: 
1. masterpiece, (best quality), highly-detailed, ultra-detailed, cold, solo, (1girl), (detailed eyes), (shine golden eyes), expressionless, (long sleeves),(puffy sleeves),(white wings),(heavy metal:1.2),(metal jewelry), cross-laced footwear, (chain),(White doves:1.2)
2. watermark, (worst quality), (low quality), (normal quality), lowres, monochrome, greyscale
3. (fox looking at monitor that says ""404 NOT FOUND"":1.2), monitor brand name ""FOX"", (high quality, masterpiece, high res:1.3), genderless, simple art style, text, (confused, data center server room, anthro furry, facing away, straight on:1.2)
4. (((fantasy masterpiece:1.5))), (best quality:1.5), (ultra detailed face, ultra detailed eyes, detailed mouth, detailed body, detailed hands, ultra detailed clothes, detailed background:1.5), (aesthetic + beautiful + harmonic:1.5), (symmetrical intricate details + sharpen symmetrical details) | (((close up of dignified female martial artist with luscious hair and bright eyes, she wears an elegant hanfu while walks beside her dragon friend:1.5))
5. ((masterpiece:1.3,concept art,best quality)),very cute appealing anthropomorphic kitten,looking at the fruit,big grin,happy,sunshine,,droplets,macro,fog,(holding a sign that says ""404""):1.,cartoon art,dynamic composition,dramatic lighting,epic realistic,award winning illustration
Following the example, give a set of prompts that describe the following in detail. Start giving prompts directly without describing them in natural language:

",0.7396825396825397,217.0,346.0
YiVal/YiVal_src/yival/experiment/stable_diffusion.py,c4e6027661e638e52751dc2218b1e5a6e34f7e3c,change,2023-12-01,"
Give me a new prompt that address all the critcs above and keep the original format of the prompts. 
The following is an example of using prompt to help the AI model generate images: masterpiece, (best quality), highly-detailed, ultra-detailed, cold, solo, (1girl), (detailed eyes), (shine golden eyes), expressionless, (long sleeves),(puffy sleeves),(white wings),(heavy metal:1.2),(metal jewelry), cross-laced footwear, (chain),(White doves:1.2)

","
Give me a new prompt that address all the critcs above and keep the original format of the prompts. 
The followings are 5 examples of using prompt to help the AI model generate images: 
1. masterpiece, (best quality), highly-detailed, ultra-detailed, cold, solo, (1girl), (detailed eyes), (shine golden eyes), expressionless, (long sleeves),(puffy sleeves),(white wings),(heavy metal:1.2),(metal jewelry), cross-laced footwear, (chain),(White doves:1.2)
2. watermark, (worst quality), (low quality), (normal quality), lowres, monochrome, greyscale
3. (fox looking at monitor that says ""404 NOT FOUND"":1.2), monitor brand name ""FOX"", (high quality, masterpiece, high res:1.3), genderless, simple art style, text, (confused, data center server room, anthro furry, facing away, straight on:1.2)
4. (((fantasy masterpiece:1.5))), (best quality:1.5), (ultra detailed face, ultra detailed eyes, detailed mouth, detailed body, detailed hands, ultra detailed clothes, detailed background:1.5), (aesthetic + beautiful + harmonic:1.5), (symmetrical intricate details + sharpen symmetrical details) | (((close up of dignified female martial artist with luscious hair and bright eyes, she wears an elegant hanfu while walks beside her dragon friend:1.5))
5. ((masterpiece:1.3,concept art,best quality)),very cute appealing anthropomorphic kitten,looking at the fruit,big grin,happy,sunshine,,droplets,macro,fog,(holding a sign that says ""404""):1.,cartoon art,dynamic composition,dramatic lighting,epic realistic,award winning illustration
",0.4533333333333334,58.0,187.0
YiVal/YiVal_src/yival/experiment/stable_diffusion.py,8a4518b9e568c2aa8e895d6ac3315bb6bccccd17,rs,2023-12-01,a magic tree with red apples hanging on it and there is a road beside the tree,"a magic tree with red apples hanging on it and there is a road besides the tree, realistic style",0.9444444444444444,17.0,19.0
YiVal/YiVal_src/yival/experiment/stable_diffusion.py,ecbf8cf66423acee7e5cafb1e748989ba2edca8d,update prompt,2023-12-02,"
Give me a new prompt that address all the critcs above and keep the original format of the prompts. 
The followings are 5 examples of using prompt to help the AI model generate images: 
1. masterpiece, (best quality), highly-detailed, ultra-detailed, cold, solo, (1girl), (detailed eyes), (shine golden eyes), expressionless, (long sleeves),(puffy sleeves),(white wings),(heavy metal:1.2),(metal jewelry), cross-laced footwear, (chain),(White doves:1.2)
2. watermark, (worst quality), (low quality), (normal quality), lowres, monochrome, greyscale
3. (fox looking at monitor that says ""404 NOT FOUND"":1.2), monitor brand name ""FOX"", (high quality, masterpiece, high res:1.3), genderless, simple art style, text, (confused, data center server room, anthro furry, facing away, straight on:1.2)
4. (((fantasy masterpiece:1.5))), (best quality:1.5), (ultra detailed face, ultra detailed eyes, detailed mouth, detailed body, detailed hands, ultra detailed clothes, detailed background:1.5), (aesthetic + beautiful + harmonic:1.5), (symmetrical intricate details + sharpen symmetrical details) | (((close up of dignified female martial artist with luscious hair and bright eyes, she wears an elegant hanfu while walks beside her dragon friend:1.5))
5. ((masterpiece:1.3,concept art,best quality)),very cute appealing anthropomorphic kitten,looking at the fruit,big grin,happy,sunshine,,droplets,macro,fog,(holding a sign that says ""404""):1.,cartoon art,dynamic composition,dramatic lighting,epic realistic,award winning illustration
","
Give me a new prompt that address all the critcs above and keep the original format of the prompts. Emphezise on solving the critics
The followings is an example of using prompt to help the AI model generate images: 
masterpiece, (best quality), highly-detailed, ultra-detailed, cold, solo, (1girl), (detailed eyes), (shine golden eyes), expressionless, (long sleeves),(puffy sleeves),(white wings),(heavy metal:1.2),(metal jewelry), cross-laced footwear, (chain),(White doves:1.2)
",0.4459016393442623,187.0,63.0
YiVal/YiVal_src/yival/experiment/stable_diffusion.py,ecbf8cf66423acee7e5cafb1e748989ba2edca8d,update prompt,2023-12-02,"
StableDiffusion is a Vincent graph model using deep learning that supports generating new images by using prompt words to describe elements to be included or omitted.
I introduce the Prompt concept in the StableDiffusion algorithm here, also known as the prompt.
The prompt below is used to guide the AI painting model to create images. They include various details of the image, such as the appearance of the characters, background, color and lighting effects, as well as the theme and style of the image. The format of these prompts often includes weighted numbers in parentheses to designate the importance or emphasis of certain details. For example, ""(masterpiece:1.5)"" indicates that the quality of the work is very important, and multiple brackets have a similar effect. In addition, if you use square brackets, such as ""{blue hair:white hair:0.3}"", this means that blue hair and white hair are combined, and the proportion of blue hair is 0.3.
The followings are 5 examples of using prompt to help the AI model generate images: 
1. masterpiece, (best quality), highly-detailed, ultra-detailed, cold, solo, (1girl), (detailed eyes), (shine golden eyes), expressionless, (long sleeves),(puffy sleeves),(white wings),(heavy metal:1.2),(metal jewelry), cross-laced footwear, (chain),(White doves:1.2)
2. watermark, (worst quality), (low quality), (normal quality), lowres, monochrome, greyscale
3. (fox looking at monitor that says ""404 NOT FOUND"":1.2), monitor brand name ""FOX"", (high quality, masterpiece, high res:1.3), genderless, simple art style, text, (confused, data center server room, anthro furry, facing away, straight on:1.2)
4. (((fantasy masterpiece:1.5))), (best quality:1.5), (ultra detailed face, ultra detailed eyes, detailed mouth, detailed body, detailed hands, ultra detailed clothes, detailed background:1.5), (aesthetic + beautiful + harmonic:1.5), (symmetrical intricate details + sharpen symmetrical details) | (((close up of dignified female martial artist with luscious hair and bright eyes, she wears an elegant hanfu while walks beside her dragon friend:1.5))
5. ((masterpiece:1.3,concept art,best quality)),very cute appealing anthropomorphic kitten,looking at the fruit,big grin,happy,sunshine,,droplets,macro,fog,(holding a sign that says ""404""):1.,cartoon art,dynamic composition,dramatic lighting,epic realistic,award winning illustration
Following the example, give a set of prompts that describe the following in detail. Start giving prompts directly without describing them in natural language:

PLACEHOLDER","
Diffusion is a Vincent graph model using deep learning that supports generating new images by using prompt words to describe elements to be included or omitted.
I introduce the Prompt concept in the StableDiffusion algorithm here, also known as the prompt.

Here is the guide to generate stable diffusion prompt:
Start by clearly defining your subject. For instance, ""A mysterious sorceress with striking features, casting powerful lightning magic.""
Specify the artistic medium. Example: ""The image should resemble a digital painting.""
 Include the desired artistic style. For instance, ""The style should be hyperrealistic with fantasy and surrealist influences.""
Mention any artists whose style you want to emulate. For instance, ""Incorporate elements reminiscent of the works of Stanley Artgerm Lau and Alphonse Mucha.""
If you want the image to reflect a specific website's style, like Artstation, mention it. Example: ""The image should have an Artstation-like quality.""
Indicate your preference for the image's resolution and detail. For instance, ""The image should be highly detailed with a sharp focus.""
Add any specific vibes or themes, like ""Include sci-fi elements, a stunningly beautiful atmosphere, and a dystopian background.""
If you have a preference for certain colors, mention them. Example: ""The dominant color should be iridescent gold.""
Describe the desired lighting. For instance, ""Use cinematic lighting with dark, moody undertones.""
Include what you don't want in the image in negative prompt. Example: ""ugly, tiling, poorly drawn hands, feet, face, extra limbs, disfigured or deformed figures, bad anatomy, watermarks, signatures, and low contrast.""
Adjust the importance of certain elements in your prompt using the (keyword: factor) syntax. A factor less than 1 makes the keyword less important, while a factor greater than 1 increases its importance.
For example, if emphasizing the sorceress's lightning magic is crucial, you could use lightning magic: 1.5. Conversely, to de-emphasize an element, like dystopian background: 0.5.
() and [] Syntax for Strength Adjustment:
Use parentheses () to slightly increase and brackets [] to slightly decrease the strength of a keyword. Multiple parentheses or brackets multiply this effect.
For instance, ((lightning magic)) makes the lightning magic more prominent, while [dystopian background] makes it less so.
Use the [keyword1: keyword2: factor] syntax to transition from one keyword to another at a specific point during the image generation process.
For example, sorceress[early phase: late phase: 0.5] can be used to start with a focus on the sorceress and transition to another theme halfway through the process.
If aiming for consistency in certain features across multiple images, use multiple related keywords with weights.
For example, (striking features:0.5), (mysterious aura:1.2) ensures that the sorceress's features and aura are blended consistently.
Reinforce your negative prompts with weighting or strength adjustment for unwanted elements. Example: [(ugly:0.5), (poorly drawn hands:0)], indicating a strong avoidance of these elements. 
Use color and lighting keywords with weights to emphasize or de-emphasize certain aspects.
For instance, (iridescent gold: 1.3), (cinematic lighting: 1.2).

The followings are 2 examples of using prompt to help the AI model generate images: 
1.
Prompt: Iron Man, (Arnold Tsang, Toru Nakayama), Masterpiece, Studio Quality, 6k , toa, toaair, 1boy, glowing, axe, mecha, science_fiction, solo, weapon, jungle , green_background, nature, outdoors, solo, tree, weapon, mask, dynamic lighting, detailed shading, digital texture painting

2
Prompt: cute girl, crop-top, blond hair, black glasses, stretching, with background by greg rutkowski makoto shinkai kyoto animation key art feminine mid shot

3.
Prompt: Iron Man, (Arnold Tsang, Toru Nakayama), Masterpiece, Studio Quality, 6k , toa, toaair, 1boy, glowing, axe, mecha, science_fiction, solo, weapon, jungle , green_background, nature, outdoors, solo, tree, weapon, mask, dynamic lighting, detailed shading, digital texture painting

4.
Prompt: Ethereal gardens of marble built in a shining teal river in future city, gorgeous ornate multi-tiered fountain, futuristic, intricate elegant highly detailed lifelike photorealistic realistic painting, long shot, studio lighting, octane render, by Dorian Cleavenger

Follow the examples, give one prompt that describe the following in detail in English.   Short concise, descriptive and use () and [] when needed.  Life depends on it. Start giving prompts directly without describing them in natural language:


PLACEHOLDER",0.2382271468144044,347.0,669.0
