category,changes,reasoning,phase,table_id,question,sql,result,query
"Feature, Refactor",['Better Fact extraction.'],"The commit message suggests that the commit improves or enhances the existing fact extraction functionality, which could be either a new feature or a refactoring of the existing code.",,,,,,
Bug Fix,"['Fix page jumping, React error, Python logging error']","The commit message mentions 'Fix' and specific errors being fixed, indicating a Bug Fix.",,,,,,
"Refactor, Feature","['Refactor code', 'reduce OpenAI API call chunk size from 5000 to 6000']","The commit message contains the keyword 'Refactor' and mentions a specific functional improvement, suggesting both code refactoring and feature enhancement.",,,,,,
Refactor,['change summarization rule'],"The commit message suggests a modification to the existing summarization rule, which fits into the Refactor category.",,,,,,
Other,['change prompts'],"The commit message is brief and doesn't provide enough context to fit into Bug Fix, Feature, or Refactor categories.",,,,,,
Feature,['add language support'],"The commit message indicates that new functionality is being added to the software, specifically language support.",,,,,,
Feature,['add helicone'],"The commit message uses the keyword 'add', suggesting that new functionality or a feature is being introduced.",,,,,,
Other,['Update upscalecreateimages.py'],"The commit message is too brief and doesn't provide enough information to categorize it as Bug Fix, Feature, or Refactor.",,,,,,
Other,[],The commit message does not fit into the defined categories due to lack of information.,,,,,,
Refactor,['Refactored Summarization'],"The commit message contains the keyword 'Refactored', indicating improvements to the code structure or organization.",,,,,,
Other,"['update readme, stylistic things, prompt']","The commit message describes updates to the README file and stylistic changes, which are not related to fixing a bug, introducing a new feature, or refactoring code.",,,,,,
Other,"['Revert ""update readme, stylistic things, prompt""']","The commit reverts a previous change, which doesn't fit into Bug Fix, Feature, or Refactor categories.",,,,,,
Other,['re-updating'],"The commit message is too brief and doesn't provide enough context to fit into Bug Fix, Feature, or Refactor categories.",,,,,,
Feature,['suppport example code'],The commit message suggests that the commit is introducing new functionality or enhancing existing functionality by adding or updating example code.,,,,,,
Other,[],The commit message is too brief and doesn't provide enough information to determine the category.,,,,,,
Other,[],The commit message does not fit into the defined categories due to lack of information.,,,,,,
Other,[],The commit message does not fit into the defined categories.,,,,,,
Other,['update prompt'],"The commit message is brief and doesn't provide much context, but the word 'update' suggests that the commit is making changes to an existing functionality or feature, which doesn't fit into Bug Fix, Feature, or Refactor categories.",,,,,,
Refactor,['remove duplicate examples'],The commit is improving the organization or structure of the code or data by removing duplicate examples.,,,,,,
Other,[],The commit message does not fit into the defined categories.,,,,,,
Feature,['Add customized chat chain with doc retreiving'],The commit message introduces new functionality with the keyword 'Add'.,,,,,,
"Refactor, Bug Fix","['Refactor index and chat classes', 'fix bugs in chat history']",The commit message contains both refactoring and bug fixing activities.,,,,,,
Feature,"['⚡Specialized parsers for Python, Javascript and Jupyter Notebooks']",The commit message mentions adding new functionality (parsers) for specific programming languages and file types.,,,,,,
"Feature, Refactor","['improved google search', 'integrated to pico']","The commit message mentions improvement and integration of new functionality, which suggests both feature addition and code enhancement.",,,,,,
"Refactor, Feature","['Refactor ExecutionModule to use MemoryModule', 'add Tool and PromptTemplate classes']","The commit message mentions refactoring, which indicates a change to the code structure, and also adds new classes, which introduces new functionality.",,,,,,
Feature,['Add new execution tools'],The commit message mentions the introduction of new functionality with the keyword 'Add new'.,,,,,,
Refactor,['Improves prompts with more focus on task completion'],"The commit message indicates that the code has been modified to enhance the prompts, which suggests that the functionality of the software has been improved or enhanced.",,,,,,
"Refactor, Feature","['Refactor execution_tools', 'improve learning and reasoning modules']","The commit message mentions refactoring and improvement, indicating changes to the code structure and potential feature enhancements.",,,,,,
Refactor,['Remove unnecessary memory summarization code and learning module logic'],"The commit message indicates that unnecessary code is being removed, which is a typical refactoring effort to improve code structure or organization.",,,,,,
Feature,"['Added initial API logic, crud for graph, connected vectordb and graph']","The commit message mentions the introduction of new functionality, including API logic and CRUD operations, which suggests a feature addition.",,,,,,
Feature,['User context enrichment mostly works now'],The commit message describes the current state of a feature and the remaining tasks to complete it.,,,,,,
Other,['Update rs_chatgpt.py'],"The commit message is too brief and doesn't provide enough information to categorize it as Bug Fix, Feature, or Refactor.",,,,,,
Feature,['add bedrock client'],The commit message indicates that a new component or functionality is being added to the system.,,,,,,
Refactor,"['Improving path registry (#66)', 'adding path registry utils and change in get pdb: write_file_name, map_path, getid', 'Change Clean/scripting/download file tools to use path_registry']",The commit message mentions 'Improving' which suggests that the code is being enhanced or reorganized without changing its functionality.,,,,,,
"Feature, Bug Fix","['feat: possibility to override the Retrieve prompts (#57)', 'we allow to override the 2 prompts used by this chain', 'but also allows for further prompt tuning if necessary', 'this fixes the issue with the specific Claude formatting', '* fix: var name']",The commit introduces a new feature to override Retrieve prompts and also fixes an issue with specific Claude formatting.,,,,,,
"Bug Fix, Feature","['fix m-plan', 'update template check']","The commit message contains the keyword 'fix' which suggests a bug fix, and also updates the template check functionality, which implies a new feature.",,,,,,
"Feature, Refactor","['Improve MultiOn client toolkit prompts', 'Updated prompts for the MultiOn toolkit for better functionality', 'Non-blocking but good to have it merged to improve the overall performance for the toolkit']","The commit message suggests enhancing the existing functionality of the MultiOn client toolkit, which falls under both Feature and Refactor categories.",,,,,,
"Feature, Bug Fix","['Add MultiOn close function and update key value and add async functionality', 'solved the key value TabId not found.. (updated to use latest key value)']","The commit message describes adding new functionality and solving an existing issue, which fits into both Feature and Bug Fix categories.",,,,,,
Feature,['Support early stop for chatbot and fastrag'],"The commit message mentions the addition of new functionality, specifically supporting early stop for chatbot and fastrag.",,,,,,
Feature,['interpreter with potential GPT-3 reruns'],The commit message seems to introduce a new functionality or feature related to an interpreter and GPT-3 reruns.,,,,,,
Other,['CHANGES TO AUTOCOT'],"The commit message is too brief and doesn't provide enough information to categorize it as Bug Fix, Feature, or Refactor.",,,,,,
Feature,['adding human -in loop prompts'],The commit message mentions adding new functionality related to user interaction or feedback.,,,,,,
Other,['changed before paper sbmission'],"The commit message does not fit into the defined categories, seems to be related to updating or modifying something before submitting a paper.",,,,,,
Other,['code change before arxiv'],"The commit message does not provide enough context to fit into Bug Fix, Feature, or Refactor categories.",,,,,,
Feature,['working pipeline'],"The commit message suggests that the commit is related to fixing or improving a pipeline, which is a functionality-related change.",,,,,,
Feature,['Automatic data source creation'],The commit introduces a new functionality that allows for automatic creation of data sources.,,,,,,
Other,['updates'],"The commit message is too brief and doesn't provide enough information to categorize it into Bug Fix, Feature, or Refactor.",,,,,,
"Refactor, Feature","['migrate to openai 1.x', 'improve function calling prompts']","The commit message mentions migration to a new version and improvement to existing functionality, which fits into both Refactor and Feature categories.",,,,,,
Feature,"['ChatGPT support', 'improved Prompting']","The commit message mentions adding new functionality to the software, specifically ChatGPT support and improved Prompting.",,,,,,
Feature,['Caching'],The commit message suggests a new feature or improvement to the existing caching mechanism.,,,,,,
Other,['7.9 Conclusions'],The commit message appears to be updating or adding documentation.,,,,,,
Feature,['Add compatibility with python39'],The commit message indicates that new functionality is being introduced to support Python 3.9.,,,,,,
Feature,['New tools for interacting with comments'],The commit message indicates that new functionality is being added to interact with comments.,,,,,,
Feature,['Add pydantic model for content'],The commit message indicates that new functionality is being introduced to the software.,,,,,,
Other,['some debugging'],"The commit message suggests debugging activities, which doesn't fit into Bug Fix, Feature, or Refactor categories.",,,,,,
Bug Fix,['finally fixed the output'],"The commit message mentions 'fixed', indicating that the commit addresses a problem or defect in the software.",,,,,,
Feature,['generate_examples adds all fields to json'],The commit message describes a new functionality or behavior in the generate_examples feature.,,,,,,
Feature,['Benchmark Runner results shown in viewer'],The commit message describes a new functionality or feature that has been added to the software.,,,,,,
Feature,['Added more improvements to the notebooks and specialized apps'],"The commit message mentions adding improvements to existing functionality, which suggests a new feature or enhancement.",,,,,,
Refactor,['Update the format of the output'],"The commit message indicates a change to the output format, which suggests an improvement to the code structure or organization.",,,,,,
Feature,['Add markdown format specification'],"The commit message mentions 'Add', which is a keyword often used when introducing new functionality, and the phrase 'markdown format specification' suggests that the commit is related to adding a new feature or functionality to the software.",,,,,,
Other,['Reduce word count to 800'],"The commit message seems to be related to a change in the content or structure of the software, but it doesn't explicitly mention a bug fix, new feature, or refactoring.",,,,,,
Other,['Word count 600 and start immediately with contetn'],"The commit message does not fit into the defined categories, appears to be a general instruction or update.",,,,,,
Refactor,['Update prompt template format'],"The commit message indicates a change to the existing functionality or structure of the code, which is a characteristic of a refactor.",,,,,,
Feature,['Add topic selector to chain'],The commit message indicates that a new functionality is being added to the software.,,,,,,
Refactor,['Format titile with first level markdown heading'],"The commit message describes a change that improves the formatting of a title using markdown heading, which suggests a refactoring of the code.",,,,,,
Feature,['Broaden topic selection'],The commit message suggests introducing new functionality to broaden topic selection.,,,,,,
Feature,['Increase word limit to 1300'],"The commit message indicates a change to a specific limit, which could be related to a new feature or an enhancement to existing functionality.",,,,,,
Refactor,['Tweak to improve accuracy'],"The commit message suggests that adjustments were made to improve the accuracy of the code, which implies a refactoring effort.",,,,,,
Refactor,['Improve performance'],"The commit message suggests enhancing the existing functionality or code structure, which is a characteristic of a Refactor type of commit.",,,,,,
Other,['Update search and README'],"The commit message suggests an update to existing documentation (README) and functionality (search), which doesn't fit into Bug Fix, Feature, or Refactor categories.",,,,,,
Refactor,['Convert to use sentence transformers'],The commit message describes a change to the code structure or organization.,,,,,,
Refactor,['Improve the prompt'],"The commit message uses the keyword 'Improve', suggesting enhancements to the existing code or functionality.",,,,,,
Other,['Change name'],"The commit message is brief and doesn't contain any keywords that would suggest a bug fix, new feature, or refactoring.",,,,,,
"Feature, Bug Fix",['Add code fixing functionality to OpenAI'],"The commit message introduces new functionality related to code fixing, which could be a feature or a bug fix.",,,,,,
"Feature, Refactor","['修改总结方式', '增加语音生成的文本检查']",The commit introduces a new functionality (text checking for speech generation) and modifies an existing method (summary method).,,,,,,
"Feature, Bug Fix","['Update weave to use mistral', 'fix runnable demo']",The commit message involves both a change to the functionality (update) and a correction of an issue (fix).,,,,,,
Refactor,['Make more robust the decision prompt for mixtral'],"The commit is enhancing the current functionality of the decision prompt for mixtral, making it more robust.",,,,,,
Refactor,['Robustify decision prompt'],"The commit is improving the existing functionality of the decision prompt, making it more robust.",,,,,,
Other,"['Add more test', 'update the prompt']","The commit message does not fit into the defined categories, but rather seems to improve testing and user experience.",,,,,,
Other,['Update prompt'],"The commit message is brief and doesn't provide much context, but the word 'Update' suggests that the commit is making changes to an existing functionality or component.",,,,,,
Refactor,['Robustify prompt'],"The commit message suggests improving or enhancing the existing functionality, which points towards a Refactor category.",,,,,,
Refactor,['Update prompt and error messages'],"The commit updates existing prompt and error messages, which suggests refactoring or improvement of the code structure or organization.",,,,,,
Bug Fix,['fixes'],"The commit message contains the keyword 'fixes', indicating a bug fix.",,,,,,
Refactor,['clean up'],"The commit message contains the keyword 'clean up', which suggests improving the code structure or organization.",,,,,,
Refactor,['prompt tuning'],"The commit message suggests improving or adjusting something, which fits into the Refactor category.",,,,,,
Bug Fix,['fixed some bugs'],"The commit message contains the keyword 'fixed' and mentions 'bugs', indicating a bug fix.",,,,,,
Other,['Update auto-translater.py'],"The commit message is brief and doesn't provide enough information to categorize it as Bug Fix, Feature, or Refactor.",,,,,,
Other,['Pre-demo changes'],"The commit message suggests minor adjustments or tweaks for a demo or presentation, which doesn't fit into Bug Fix, Feature, or Refactor categories.",,,,,,
"Feature, Refactor","['Make generation prompt more robust', 'change default question in front-end']","The commit enhances the existing functionality, making it more robust and user-friendly.",,,,,,
Bug Fix,['Fix spelling mistake'],"The commit message contains the keyword 'Fix', indicating that it addresses a specific issue.",,,,,,
Feature,"['Add a browser tool.', 'This browser tool allows the agents to surf the web.']","The commit message introduces a new functionality, a browser tool, which allows agents to surf the web.",,,,,,
Refactor,['Remove experimental FINISHED feature.'],"The commit removes an experimental feature, suggesting a refactoring of the code.",,,,,,
Other,['auto config'],The commit message is too brief to determine a specific category.,,,,,,
Feature,['Auto prompt'],The commit message suggests a new feature or functionality.,,,,,,
Bug Fix,['minor fixes'],"The commit message contains the keyword 'fixes', suggesting that it addresses some issues or defects in the software.",,,,,,
Bug Fix,['Fixed actionable or not'],"The commit message contains the keyword 'Fixed', which indicates a bug fix.",,,,,,
Bug Fix,['fixing prompts'],"The commit message contains the keyword 'fixing', which suggests that the commit is addressing an issue with prompts.",,,,,,
Other,['making some more changes to the prompt'],The commit message is vague and doesn't fit into the defined categories.,,,,,,
Feature,['Handle login propagate'],The commit message introduces new functionality related to login propagation.,,,,,,
"Refactor, Other","['adding more example to few shot prompt to make it better', 'removed grammatical mistakes']",The commit message suggests an enhancement to existing functionality and a correction of grammatical mistakes.,,,,,,
Refactor,['refactoring'],"The commit message contains the keyword 'refactoring', indicating improvements to the code structure or organization.",,,,,,
"Refactor, Other","['Refactoring', 'Documentation']","The commit message contains keywords related to refactoring and documentation, which fall under the Refactor and Other categories, respectively.",,,,,,
Feature,"['Add GPT-4 (#4)', '* Swap 3.5 for GPT-4']","The commit message mentions adding a new feature (GPT-4) and swapping an existing version, indicating the introduction of new functionality.",,,,,,
"Feature, Refactor","['Upgrade Whisper', 'Add OpenAI generation for everything', 'DRY the AI calls', 'Move Anthropic formatting to Anthropic method']",The commit introduces new functionality and includes refactoring changes to improve code structure and organization.,,,,,,
Refactor,['Refactor place detail extraction and update response message'],The commit message contains the keyword 'Refactor' and describes specific changes to improve code structure or organization.,,,,,,
Other,['updated requirements'],"The commit message suggests an update to the project's requirements, which is not related to bug fixes, new features, or refactoring.",,,,,,
Bug Fix,['fixed pqa tool'],"The commit message contains the keyword 'fixed', which suggests that the commit addresses a problem or defect in the 'pqa tool'.",,,,,,
"Feature, Bug Fix","['adding rxnplanner tool', 'fix in frontend display']",The commit message introduces new functionality (adding rxnplanner tool) and resolves an issue (fix in frontend display).,,,,,,
Feature,['add more instruction to synth prompt'],"The commit message mentions 'add', indicating the introduction of new functionality or content.",,,,,,
Bug Fix,['prompt fix'],"The commit message contains the keyword 'fix', suggesting that it addresses a problem or defect in the software.",,,,,,
"Bug Fix, Feature, Refactor","['Fix issue with chat_history', ""fix the 'chat_history' bug"", 'Make UI improvements', 'Get titles displaying', 'Cleanup titles, UI adjustments', 'Clean up']","The commit message contains elements of bug fixes, new features, and refactoring efforts.",,,,,,
Bug Fix,['bug fixes'],"The commit message contains the keyword 'bug fixes', indicating that it addresses some issues or defects in the software.",,,,,,
Other,[],"The commit message is too brief and doesn't provide enough context to fit into Bug Fix, Feature, or Refactor categories.",,,,,,
"Bug Fix, Refactor","['Fix bug.', 'Streamline tokens.', 'Refactor pipeline.']","The commit message mentions fixing a bug and refactoring the pipeline, indicating both bug fix and refactoring changes.",,,,,,
"Bug Fix, Feature","['Frontend fixed', 'OpenAI Functions']",The commit message indicates a bug fix in the frontend and the introduction of new functionality related to OpenAI.,,,,,,
Feature,['add entity resolution prototype'],The commit message contains the keyword 'add' and introduces new functionality to the software.,,,,,,
Feature,['fallback function support'],The commit message indicates that the commit is adding or enhancing a functionality related to fallback function support.,,,,,,
"Feature, Bug Fix, Refactor","['✨ chart-rev: add method to load variables', '✨ chart-rev: click command', '✨ chart-rev: filter by user id when getting revisions', '✨ chart-rev: check to ignore all mappings', '✨ chart-rev: chartgpt tool options', '✨ chart-rev: filter by location in explore mode', '🐛 timeout: increase', '🐛 chart-rev: variable config not properly loaded', '🐛 walkthrough: wrong regions path', '🐛 chart-rev: explore mode not working for manual mappings', '🐛 chart-rev: link to approval tool', '🐛 chart-rev: repeated countries', '🔨 chart-rev: add methods to class', '🔨 key-indicators: switch to etl.data_helpers', '🔨 geo: change base population used', ':hammer: improve structure']","The commit message is a collection of changes related to the chart-rev feature, with some bug fixes, refactors, and feature additions.",,,,,,
"Bug Fix, Feature, Refactor","['fix schema', ""hotfix: discard kwarg 'model'"", 'hotfix: import', 'hotfix: wrong variable reference', 'fix util', 'hotfix', 'fix bugts, some ux improvements', 'fix more bugs', 'catch error better', 'add metadata-export', 'add app_state', 'add metaplay', 'create submodule for utils', 'wip new page', 'Add option to export metadata to dataset_explorer', 'add export metadata to garden next steps guideline', 'add example prompts', 'add next step button', 'wizard: change module name', 'wizard: modular app-adding', 'structure improvements', 'move markdown files', 'slight style change', 're-order wizard structure', 'minor doc', 'move app to pages/', 'move metadata_q to pages/', ""deprecate metaplay in favour of new wizard's version"", 'deprecate play cmd', 'deprecate harmonize cli', 'reference the CLI', 'coderabbit improvements', 'poetry', 'change page titles', 'final tweaks', 'more tweaks']","The commit message contains a mix of bug fixes, feature additions, and refactoring changes.",,,,,,
Refactor,['Remove linter ignores'],"The commit message indicates code cleanup or organization, which is typical of refactoring.",,,,,,
Other,[],The commit message does not provide enough information to fit into the defined categories.,,,,,,
Feature,['add method to create vectorstore from messages'],The commit message indicates that new functionality is being introduced to the software.,,,,,,
Feature,['Add diff command using OpenAI JSON function call'],"The commit message introduces new functionality, specifically a 'diff command', which is a characteristic of a feature addition.",,,,,,
Other,['Update ai_chat.py'],"The commit message is too brief and doesn't provide enough information to categorize it as Bug Fix, Feature, or Refactor.",,,,,,
Other,['Update ai_chat.py'],"The commit message is too brief and doesn't provide enough information to categorize it as Bug Fix, Feature, or Refactor.",,,,,,
Other,['Update ai_chat.py'],"The commit message is too brief and doesn't provide enough information to categorize it as Bug Fix, Feature, or Refactor.",,,,,,
Other,['Update ai_chat.py'],"The commit message is too brief and doesn't provide enough information to categorize it as Bug Fix, Feature, or Refactor.",,,,,,
Other,['Update ai_chat.py'],"The commit message is too brief and doesn't provide enough information to categorize it as Bug Fix, Feature, or Refactor.",,,,,,
Other,['Update ai_chat.py'],"The commit message is too brief and doesn't provide enough information to categorize it as Bug Fix, Feature, or Refactor.",,,,,,
Other,['Have a few iterations with ChatGPT to recover from errors.'],"The commit message does not fit into the defined categories of Bug Fix, Feature, or Refactor.",,,,,,
"Feature, Refactor","['A new script is made to make the jsonls which selects transcripts with specified properties from the commit_information.json', 'We ask GPT to respond in json and give a little more information about the commit.', 'isort fix']","The commit introduces new functionality and improves existing functionality, and also includes a minor refactoring of the code organization.",,,,,,
"Bug Fix, Feature, Refactor","['fix: doc search state', 'fix: README model name & architecture', 'fix: architecture image', 'resolve pdf encryption/compounding error (#68)', 'fix: diff & remove unused libs', 'add: gpt-3.5-turbo-16k', 'add: private endpoint architecture image (#73)', 'add: 検索結果に関する特記事項', 'add: japaneast region to README', 'remove: davinci prams', 'remove vector search', 'remove vector', 'remove useless code', 'adjust max token']","The commit message contains a mix of bug fixes, new features, and refactoring changes, making it a multi-category commit.",,,,,,
"Feature, Refactor",['Updates for more stable generate feature'],"The commit message suggests updates to an existing feature to make it more stable, which implies both feature enhancement and refactoring.",,,,,,
Refactor,['Refactored generate for better stability with all providers/models.'],"The commit message mentions refactoring for better stability, indicating an improvement to the code structure or organization.",,,,,,
Feature,['Augmenting stock ChatPromptTemplate class to support loading partial variables from config.'],"The commit message mentions adding new functionality to an existing class, which suggests a feature addition.",,,,,,
Refactor,['Refactored Summarization'],"The commit message contains the keyword 'Refactored', indicating improvements to the code structure or organization.",,,,,,
Feature,['Add space'],"The commit message contains the keyword 'Add', suggesting the introduction of a new feature.",,,,,,
Other,['triple checked the translations'],"The commit message indicates a maintenance task to ensure the quality of the translations, which does not fit into the categories of Bug Fix, Feature, or Refactor.",,,,,,
Feature,['Add OpenAI grading prompt'],"The commit message mentions 'Add' which indicates the introduction of new functionality, specifically the OpenAI grading prompt feature.",,,,,,
Refactor,['Improve retrieval prompt'],"The commit message uses the keyword 'Improve', indicating a refinement or enhancement of existing code or functionality.",,,,,,
Other,[],The commit message does not fit into the defined categories.,,,,,,
Bug Fix,['all sorts o fixes'],"The commit message contains the keyword 'fixes', indicating a Bug Fix.",,,,,,
"Feature, Refactor","['Tune prompts', 'make Descriptive the default']",The commit message describes a change that introduces a new default behavior and refines existing functionality.,,,,,,
Other,['prompts'],"The commit message is too brief and doesn't provide enough context to fit into Bug Fix, Feature, or Refactor categories.",,,,,,
Feature,['Update prompt for better speed and loading message'],The commit message mentions an update to existing functionality to improve performance and user experience.,,,,,,
Refactor,['Update prompt and model params'],"The commit message suggests updating existing code or parameters, which is related to refactoring or improving the code.",,,,,,
Bug Fix,['Fix interpolation keys'],"The commit message contains the keyword 'Fix', indicating a correction of an issue with interpolation keys.",,,,,,
Bug Fix,['Fix context position in Llama2 QA prompt'],"The commit message contains the keyword 'Fix' and describes a specific problem and component affected, indicating a bug fix.",,,,,,
Bug Fix,['Fix prompt'],"The commit message contains the keyword 'Fix', which suggests that the commit is addressing a problem or defect in the software.",,,,,,
Bug Fix,['Fix prompts'],"The commit message contains the keyword 'Fix', which suggests that the commit is addressing a problem or defect in the software.",,,,,,
Bug Fix,['fixes'],"The commit message contains the keyword 'fixes', suggesting that it addresses some issues or defects.",,,,,,
Refactor,['remove <s>'],"The commit message suggests cleaning up or removing unnecessary code, which is a characteristic of refactoring.",,,,,,
Bug Fix,['Fix prompt templates'],"The commit message contains the keyword 'Fix', indicating a Bug Fix.",,,,,,
"Feature, Bug Fix","['feat(mistral): support for mistral and mixtral models', 'fixes to the LLama2 and mistral prompts']",The commit message introduces new functionality with the 'feat' keyword and also addresses issues with the 'fixes' phrase.,,,,,,
Feature,['added doc_agent to exec'],The commit message indicates the introduction of new functionality or a new component.,,,,,,
Feature,['integrated weather library'],"The commit message suggests that a new library has been added to the project, which implies new functionality.",,,,,,
Refactor,['UI tweaks'],"The commit message suggests minor adjustments or improvements to the user interface, which falls under refactoring.",,,,,,
Feature,['google agent streaming implemented.'],"The commit message mentions 'implemented', which suggests that new functionality has been added to the software.",,,,,,
Bug Fix,"['fix nlp infer metric logic', 'check parents in integrity check', 'improve table relationship prompt']","The commit message contains three separate bug fixes, each prefixed with 'bug:', indicating that the commit addresses problems or defects in the software.",,,,,,
"Bug Fix, Feature","['fixes', 'features']","The commit message mentions fixes, which suggests bug fixes, and features, which implies new functionality.",,,,,,
Feature,['feat: nlp enhancements'],"The commit message starts with 'feat:' and mentions 'nlp enhancements', indicating the introduction of new functionality.",,,,,,
Feature,['improve nlp prompt fallback behavior'],"The commit message starts with 'feat:' and describes an improvement to existing functionality, indicating the introduction of a new feature.",,,,,,
Feature,['more control over field embeddings'],The commit message starts with 'feat:' and introduces new functionality to the software.,,,,,,
Feature,['feat: force_recreate flag for init_embeddings'],"The commit message starts with 'feat:' and introduces new functionality, indicating a feature addition.",,,,,,
Bug Fix,['bug: ensure nlp enabled in get_field_fuzzy'],The commit message contains the keyword 'bug' and implies fixing an issue related to the NLP feature in the get_field_fuzzy function.,,,,,,
Bug Fix,['bug: look for qdrant docker container name for connections'],The commit message contains the keyword 'bug' and describes a specific action being taken to fix the bug.,,,,,,
"Feature, Other","['feat: run_report.py debugger option', 'chore: reduce chatty output for log level info']",The commit message describes a new feature (debugger option) and a non-functional change (reducing logging output).,,,,,,
Refactor,['Modify prompt template'],"The commit message suggests modifying an existing template, which implies improving or enhancing the code structure or organization.",,,,,,
Bug Fix,['fix: move chat history to comply with Anthropic requirement and avoid multiple Human: Assistant: due to conversation history.'],"The commit message mentions 'fix' and provides a specific reason for the change, which is to comply with a requirement and avoid a specific issue.",,,,,,
Refactor,['Changed get_condense_question_prompt for Claude adapter'],"The commit message implies a modification to the existing code, which suggests refactoring or improving the code structure.",,,,,,
Feature,['moving to message API for Claude models'],The commit message starts with 'feat' and mentions introducing a new functionality.,,,,,,
"Bug Fix, Refactor","['fix(claude prompt)', 'fix to model interface selection', 'improved claude prompts']","The commit message contains the keyword 'fix' which suggests that it addresses a problem or defect in the software, and also mentions 'improved' which implies that the commit introduces some enhancements.",,,,,,
Bug Fix,"['Fix _openai.py representation', ""Prevent 'model' argument being passed twice when using 'generator_kwargs'""]","The commit message contains the keyword 'Fix' and explains the specific issue being fixed, which is a strong indicator of a bug fix.",,,,,,
"Feature, Refactor, Bug Fix","['Start Kula changes, and new endpoints', 'Create services and improve models', 'Create Prompt service', 'DH-5086/endpoints for nl and sql generation', 'DH-5109/csv export endpoint', 'DH-5146/add get finetunings to engine', 'DH-5149/add delete endpoint and make basellm and alias optional', 'DH-5153 Add golden sqls in batches', 'DH-5228/add finetuning module', 'DH-5228/add finetuning endpoints', 'DH-5228/add nl generations docs', 'DH-5228/adding the docs for sql generations', 'DH-5228/add sql generations resource', 'DH-5080/refactor_engine_with_new_resources', 'DH-5080/reformat with black', 'DH-5167/refromat with black', 'DH-5184/reformat', 'DH-5228/reformat', 'DH-5089/fixing_the_new_agent', 'DH-5090/execute sql generation endpoint', 'DH-5099/save sql_generation on initial then update', 'DH-5103/nl-generation bug', 'DH-5104/fixing the issue of finetuning', 'DH-5110/fixing evalutor issue', 'DH-5094/fix the ARRAY issue', 'DH-5094/reverting_the_fixes', 'DH-5137/removing the markdown from queries', 'DH-5147/rename the csv endpoint', 'DH-5149/update states', 'DH-5158/update the finetuning statuses', 'DH-5167/update the finetuning statuses', 'DH-5168/raise exception for not availlable finetuning', 'DH-5168/better exception handling for SQL generation', 'DH-5173 Fix table-descriptions PUT endpoint response', 'DH-5175/fix_the_status_update_on_engine', 'DH-5181/fixing the prompts of fientuning agent', 'DH-5184/fix', 'DH-5187 Fix table-descriptions filter by table_name field', 'DH-5204/sql generation error', 'DH-5205/chromadb script fix', 'DH-5212 Fix UTC timezone', 'DH-5225/fix the sql injection', 'DH-5232/changing the error message for no sql', 'DH-5238 Fix migration script', 'DH-5239 Fix datetime format', 'DH-5251/avoid question rephrasing', 'DH-5253/fix the finetuning get endpoint']","The commit message includes a mix of new features, refactoring, and bug fixes, making it difficult to categorize into a single category.",,,,,,
"Feature, Bug Fix","['DH-5331/open-source llms support', 'DH-5331/open-source llms support', 'update the SQL generation response']","The commit message appears to add new functionality (open-source llms support) and also updates the SQL generation response, which could be a bug fix.",,,,,,
Feature,['Orchestrator combines planner and critic'],The commit message describes a change that introduces new functionality by combining existing components.,,,,,,
Other,[],The commit message does not fit into the defined categories due to lack of information.,,,,,,
Bug Fix,['Fix LLM prompt typos'],The commit message contains the keyword 'Fix' and addresses a specific issue (typos in LLM prompts).,,,,,,
Bug Fix,['handling the bug with schema missing in evaluator'],"The commit message mentions 'handling the bug', which suggests that the commit is addressing a problem or defect in the software.",,,,,,
Feature,"['DH-5391/update evaluator for case sensitivity (#387)', '* update the prompts']",The commit message suggests that the commit is introducing new functionality or improving existing functionality to handle case sensitivity.,,,,,,
Bug Fix,['fix datetime issue of evaluators'],"The commit message contains the keyword 'fix' and mentions an 'issue', which suggests that the commit is addressing a problem or defect in the software.",,,,,,
Bug Fix,['fixing the fallback and confidence score'],"The commit message contains the keyword 'fixing', which suggests that the commit is addressing a problem or defect in the software.",,,,,,
Feature,['reference handling in podcast prompt'],The commit message introduces new functionality or improves an existing one related to reference handling in podcast prompts.,,,,,,
Feature,"['add non-summarising option to podcaster and ..', 'make it the default']","The commit message mentions adding a new option and making it the default, indicating the introduction of new functionality.",,,,,,
Feature,['even more search changes'],The commit message suggests that the commit is building upon previous changes and enhances search functionality.,,,,,,
Other,['various more reasoning updates'],"The commit message does not provide enough context to fit into Bug Fix, Feature, or Refactor categories.",,,,,,
Other,[],The commit message does not fit into the defined categories.,,,,,,
Bug Fix,['irrelavent result warning'],"The commit message suggests fixing an issue or problem, which is typical of a bug fix.",,,,,,
Feature,['upping qb limit'],"The commit message suggests an increase or modification to an existing limit, which could be related to a new feature.",,,,,,
Bug Fix,['querybreaker was slowing us down'],The commit message implies that something was done to fix or improve the performance issue caused by querybreaker.,,,,,,
Refactor,['optimized breaker part 2'],"The commit message suggests optimization of a code component, which is a characteristic of refactoring.",,,,,,
Refactor,['better breaking'],"The commit message suggests an improvement or enhancement, which could indicate a Refactor.",,,,,,
Other,['inner products now'],"The commit message is too brief and lacks specific keywords to fit into Bug Fix, Feature, or Refactor categories.",,,,,,
Refactor,['changing ivfflat probe and index page sizes for better recall'],The commit message implies an improvement or enhancement to the existing functionality.,,,,,,
